50	51	54	55	56	57
50	51	56	57	58	59
50	51	58	59	66	67
50	51	66	67	68	69
50	51	68	69	6	7
50	51	6	7	8	9
50	51	8	9	54	55
52	53	64	65	62	63
52	53	62	63	60	61
52	53	60	61	66	67
52	53	66	67	72	73
52	53	72	73	20	21
52	53	20	21	18	19
52	53	18	19	64	65
66	67	58	59	60	61
66	67	68	69	72	73
70	71	68	69	72	73
70	71	68	69	76	77
70	71	72	73	76	77
76	77	68	69	74	75
76	77	74	75	80	81
76	77	80	81	82	83
76	77	82	83	84	85
76	77	84	85	78	79
76	77	78	79	72	73
6	7	26	27	28	29
6	7	28	29	8	9
6	7	68	69	74	75
6	7	74	75	4	5
6	7	4	5	26	27
8	9	28	29	30	31
8	9	30	31	32	33
8	9	32	33	10	11
8	9	10	11	54	55
10	11	32	33	34	35
10	11	34	35	12	13
10	11	12	13	56	57
10	11	56	57	54	55
12	13	56	57	58	59
12	13	58	59	14	15
12	13	14	15	38	39
12	13	38	39	36	37
12	13	36	37	34	35
14	15	38	39	16	17
14	15	16	17	60	61
14	15	60	61	58	59
16	17	38	39	40	41
16	17	40	41	42	43
16	17	42	43	64	65
16	17	64	65	62	63
16	17	62	63	60	61
18	19	42	43	44	45
18	19	44	45	20	21
18	19	64	65	42	43
20	21	44	45	46	47
20	21	46	47	48	49
20	21	48	49	22	23
20	21	22	23	72	73
74	75	4	5	2	3
74	75	2	3	80	81
80	81	2	3	82	83
82	83	2	3	0	1
82	83	0	1	84	85
84	85	0	1	24	25
84	85	24	25	78	79
78	79	24	25	22	23
78	79	22	23	72	73
